Name
Air sports
Airsoft
Amateur geology
Amusement park visiting
Archery
Auto detailing
Automobilism
Astronomy
Backpacking
Badminton
BASE jumping
Baseball
Basketball
Beachcombing
Beekeeping
Birdwatching
Blacksmithing
BMX
Board sports
Bodybuilding
Bus riding
Camping
Canoeing
Canyoning
Carrier pigeons
Car riding
Car tuning
Caving
City trip
Climbing
Composting
Croquet
Cycling
Dairy Farming
Dandyism
Darts
Dodgeball
Dog training
Dog walking
Dowsing
Driving
Farming
Fishing
Flag football
Flower growing
Flying
Flying disc
Flying model planes
Foraging
Fossicking
Freestyle football
Fruit picking
Gardening
Geocaching
Ghost hunting
Gold prospecting
Graffiti
Groundhopping
Guerrilla gardening
Gymnastics
Handball
Herbalism
Herping
High-power rocketry
Hiking
Hobby horsing
Hobby tunneling
Hooping
Horseback riding
Hunting
Inline skating
Jogging
Jumping rope
Karting
Kayaking
Kite flying
Kitesurfing
Lacrosse
LARPing
Letterboxing
Lomography
Longboarding
Martial arts
Magnet fishing
Metal detecting
Motorcycling
Meteorology
Motor sports
Mountain biking
Mountaineering
Museum visiting
Mushroom hunting/mycology
Netball
Noodling
Nordic skating
Orienteering
Paintball
Paragliding
Parkour
Photography
Pickleball
Picnicking
Podcast hosting
Polo
Powerlifting
Public transport riding
Qigong
Radio-controlled model playing
Rafting
Railway journeys
Railway modelling
Rappelling
Renaissance fair
Renovating
Road biking
Rock climbing
Rock painting
Roller skating
Roundnet
Rugby
Running
Safari
Sailing
Sand art
Scouting
Scuba diving
Sculling or rowing
Shooting
Shopping
Shuffleboard
Skateboarding
Skiing
Skimboarding
Skydiving
Slacklining
Sledding
Snorkeling
Snowboarding
Snowmobiling
Snowshoeing
Soccer
Stone skipping
Storm chasing
Sun bathing
Surfing
Survivalism
Swimming
Table tennis playing
Taekwondo
Tai chi
Tennis
Thru-hiking
Topiary
Tourism
Trade fair visiting
Travel
Unicycling
Urban exploration
Vacation
Vegetable farming
Vehicle restoration
Videography
Volleyball
Volunteering
Walking
Water sports
Zoo visiting
Archaeology
Architecture
Animation
Aerospace
Biology
Botany
Business
Chemistry
Entrepreneurship
Finance
Geography
History
Linguistics
Literature
Mathematics
Medical science
Microbiology
Mycology
Myrmecology
Neuroscience
Philosophy
Physics
Psychology
Railway studies
Religious studies
Research
Science and technology studies
Social studies
Sociology
Sports science
Story writing
Life science
Teaching
Web design
engineering
jurisprudential
publishing
Wikipedia editing
Action figure
Antiquing
Ant-keeping
Art collecting
Book collecting
Button collecting
Cartophily (card collecting)
Coin collecting
Comic book collecting
Compact discs
Crystals
Deltiology (postcard collecting)
Die-cast toy
Digital hoarding
Dolls
Element collecting
Ephemera collecting
Films
Fingerprint collecting
Fusilately (phonecard collecting)
Knife collecting
Lapel pins
Lotology (lottery ticket collecting)
Movie memorabilia collecting
Notaphily (banknote collecting)
Perfume
Philately
Phillumeny
Radio-controlled model collecting
Rail transport modelling
Record collecting
Rock tumbling
Scutelliphily
Shoes
Slot car
Sports memorabilia
Stamp collecting
Stuffed toy collecting
Tea bag collecting
Ticket collecting
Transit map collecting
Video game collecting
Vintage cars
Vintage clothing
Vinyl records
Antiquities
Auto audiophilia
Flower collecting and pressing
Fossil hunting
Insect collecting
Leaves
Mineral collecting
Rock balancing
Sea glass collecting
Seashell collecting
Stone collecting
Air hockey
Animal fancy
Axe throwing
Backgammon
Baking
Ballet dancing
Ballroom dancing
Baton twirling
Beauty pageants
Billiards
Book folding
Bowling
Boxing
Bridge
Cooking
Checkers (draughts)
Cheerleading
Chess
Color guard
Cribbage
Curling
Dancing
Debate
Dominoes
Eating
Esports
Fencing
Figure Skating
Go
Ice hockey
Ice skating
Judo
Jujitsu
Kabaddi
Knowledge/word games
Laser tag
Magic
Mahjong
Marbles
Model racing
Model United Nations
Pinball
Poker
Pole dancing
Pool
Role-playing games
Rughooking
Shogi
Slot car racing
Speedcubing
Sport stacking
Table football
Table tennis
Video gaming
VR gaming
Weightlifting
Wrestling
Association football
Australian rules football
Auto racing
Beach volleyball
Breakdancing
capoeira
Cornhole
Cricket
Disc golf
Dog sport
Equestrianism
Exhibition drill
Field hockey
Fitness
Footbag
Frisbee
Rugby league football
Shooting sports
Sled dog racing
Softball
Speed skating
Squash
Tennis polo
Tether car
Tour skating
Trapshooting
Triathlon
Ultimate frisbee
Water polo
Golfing
Horsemanship
Horseshoes
Iceboat racing
Jukskei
Kart racing
Knife throwing
Long-distance running
Marching band
Mini Golf
Model aircraft
Powerboat racing
Quidditch
Race walking
Racquetball
Radio-controlled car racing
Roller derby
Audiophile
Ant farming
Fishkeeping
Learning
Meditation
Microscopy
Reading
Shortwave listening
Aircraft spotting
Amateur astronomy
Benchmarking
Bus spotting[22
People-watching
Satellite watching
Trainspotting
Whale watching
Butterfly watching
Gongoozling
Hiking/backpacking
